subject,difficulty,topic,question,option_1,option_2,option_3,option_4,answer,hint
undertale,easy,Персонажи,Как зовут главного героя Undertale?,Фриск,Чара,Санс,Папирус,Фриск,Главный герой носит полосатую кофту и имеет нейтральное выражение лица
undertale,easy,Персонажи,Кто является первым боссом в Undertale?,Ториэль,Санс,Андайн,Альфис,Ториэль,Это существо похожее на козу которое заботится о тебе в руинах
undertale,easy,Мир игры,Как называется подземный мир в котором живут монстры?,Подземелье,Темный мир,Undertale,Руины,Подземелье,Монстры были заперты людьми под барьером после великой войны
undertale,easy,Геймплей,Что нужно сделать в пацифистском прохождении?,Не убивать никого,Убить всех боссов,Собрать все предметы,Пройти игру за 1 час,Не убивать никого,В этом прохождении нужно пощадить каждого монстра
undertale,easy,Персонажи,Как зовут скелета который охраняет вход в Snowdin?,Папирус,Санс,Меттатон,Гастер,Папирус,Он мечтает стать членом Королевской стражи и очень любит спагетти
undertale,easy,Персонажи,Как зовут брата Папируса?,Санс,Гастер,Меттатон,Асгор,Санс,Он любит спать и рассказывать плохие шутки
undertale,easy,Мир игры,Где начинается игра Undertale?,В руинах,В Snowdin,В Hotland,В замке,В руинах,Это заброшенная часть подземелья где живет Ториэль
undertale,easy,Персонажи,Кто является королём монстров?,Асгор,Санс,Меттатон,Гастер,Асгор,Он выглядит как большой козёл с рогами и носит королевскую мантию
undertale,easy,Геймплей,Какой формы душа главного героя?,Сердце,Звезда,Круг,Треугольник,Сердце,Душа красного цвета и имеет классическую форму
undertale,easy,Персонажи,Кто такая Андайн?,Капитан королевской стражи,Королева монстров,Учёный,Торговец,Капитан королевской стражи,Она рыбоподобный монстр с копьём и очень любит аниме
undertale,easy,Мир игры,Как называется локация с водопадами и светящимися цветами?,Waterfall,Snowdin,Hotland,The Core,Waterfall,Здесь постоянно слышен звук падающей воды
undertale,easy,Персонажи,Кто такая Альфис?,Королевский учёный,Страж руин,Капитан стражи,Торговец,Королевский учёный,Она динозавроподобный монстр которая очень любит аниме и науку
undertale,easy,Геймплей,Как называется действие позволяющее пощадить монстра?,SPARE,ACT,FIGHT,ITEM,SPARE,Эта кнопка появляется желтой когда монстр готов к пощаде
undertale,easy,Мир игры,Как называется горячая локация рядом с лабораторией Альфис?,Hotland,Waterfall,Snowdin,Ruins,Hotland,Здесь очень жарко из-за близости к лаве
undertale,easy,Персонажи,Как зовут торговца в руинах?,Напстаблук,Меттатон,Тем,Санс,Напстаблук,Это грустное привидение которое торгует едой
undertale,easy,Геймплей,Что такое LV в Undertale?,Уровень насилия,Уровень победы,Уровень жизни,Уровень силы,Уровень насилия,LV расшифровывается как LOVE но означает совсем не любовь
undertale,easy,Персонажи,Кем является Меттатон?,Звездой шоу-бизнеса,Королевским стражем,Учёным,Торговцем,Звездой шоу-бизнеса,Он робот созданный Альфис для развлечения монстров
undertale,easy,Мир игры,Что находится в самом конце подземелья?,Замок короля Асгора,Лаборатория Альфис,Дом Ториэль,Руины,Замок короля Асгора,Именно здесь происходит финальная битва с королём
undertale,easy,Геймплей,Как называется система сохранения в Undertale?,Точка сохранения,Checkpoint,Save Star,Memory Point,Точка сохранения,Это звёздочка которая восстанавливает HP и сохраняет прогресс
undertale,easy,Персонажи,Как зовут сына Асгора и Ториэль?,Азриэль,Папирус,Санс,Гастер,Азриэль,Он дружил с первым человеком упавшим в подземелье
undertale,medium,Персонажи,Какое настоящее имя ребенка которое ты вводишь в начале игры?,Чара,Фриск,Азриэль,Асгор,Чара,Это имя первого человека упавшего в подземелье задолго до событий игры
undertale,medium,Мир игры,Что разделяет мир людей и мир монстров?,Барьер,Река,Гора,Стена,Барьер,Семь человеческих душ могут разрушить это магическое препятствие
undertale,medium,Персонажи,Кем является Меттатон по своей природе?,Привидением в роботе,Настоящим роботом,Монстром-скелетом,Человеком,Привидением в роботе,Альфис создала для него специальное тело чтобы он мог стать звездой
undertale,medium,Геймплей,Сколько человеческих душ нужно Асгору чтобы сломать барьер?,7,5,3,10,7,Столько же сколько потребовалось магам для создания барьера
undertale,medium,Персонажи,Кто такой W.D. Gaster?,Бывший королевский ученый,Отец Санса,Создатель барьера,Первый монстр,Бывший королевский ученый,Он исчез в своем же творении и существует лишь в обрывках памяти
undertale,medium,Мир игры,Как называется локация где живет Санс и Папирус?,Сноудин,Waterfall,Hotland,Руины,Сноудин,Это заснеженная деревня в которой всегда зима
undertale,medium,Геймплей,Что происходит с монстром когда ты его щадишь в бою?,Он убегает,Он атакует сильнее,Он становится другом,Ничего не происходит,Он убегает,Действие ACT позволяет изменить настроение монстра и сделать его нейтральным
undertale,medium,Персонажи,Что случилось с Азриэлем после смерти Чары?,Превратился в Цветок Флауи,Стал королём,Исчез навсегда,Стал привидением,Превратился в Цветок Флауи,Без человеческой души монстр не может чувствовать настоящие эмоции
undertale,medium,Геймплей,Как называется финальная атака Санса?,Karmic Retribution,Bone Storm,Gaster Blaster,Final Judgment,Karmic Retribution,Эта атака наносит урон в зависимости от количества убийств игрока
undertale,medium,Персонажи,Кто продаёт предметы в Snowdin?,Братья Снежки,Папирус,Санс,Напстаблук,Братья Снежки,Это два маленьких снеговика-торговца
undertale,medium,Мир игры,Что находится в The Core?,Энергетический реактор для всего подземелья,Трон короля,Лаборатория,Тюрьма,Энергетический реактор для всего подземелья,Это место построено над огромной бездной и питает всё подземелье энергией
undertale,medium,Персонажи,Как зовут напарника Андайн в её доме?,Альфис,Ториэль,Меттатон,Напстаблук,Альфис,Они встречаются у Андайн дома во время пацифистского прохождения
undertale,medium,Геймплей,Что такое LOVE в Undertale?,Levels Of Violence and Execution,Level of Victory,Life Over Violence Execution,Legendary Overpowered Victory Experience,Levels Of Violence and Execution,Это расшифровка аббревиатуры которая скрывает тёмный смысл прокачки
undertale,medium,Мир игры,Сколько человеческих душ собрал Асгор до начала событий игры?,6,7,5,4,6,Ему не хватает одной — твоей — чтобы сломать барьер
undertale,medium,Персонажи,Что Санс делает в своё свободное время?,Спит и ест в ресторане,Тренируется,Изучает науку,Рассказывает истории,Спит и ест в ресторане,Он самый ленивый персонаж в игре и часто дремлет прямо на посту
undertale,medium,Геймплей,Что происходит если проиграть Сансу в бою?,Он отправляет тебя к последней точке сохранения,Игра заканчивается,Он убивает тебя навсегда,Он уходит,Он отправляет тебя к последней точке сохранения,Санс знает о сохранениях и специально использует это против тебя
undertale,medium,Персонажи,Как зовут цветок который встречает тебя в начале игры?,Флауи,Дейзи,Роузи,Торни,Флауи,Он притворяется добрым но потом пытается забрать твою душу
undertale,medium,Мир игры,Почему монстры не могут выйти из подземелья самостоятельно?,Барьер пропускает только людей наружу,Они боятся солнца,Нет дороги наверх,Асгор запрещает им,Барьер пропускает только людей наружу,Магия барьера устроена так что монстры могут только войти но не выйти
undertale,medium,Геймплей,Что такое EXP в Undertale?,Execution Points,Experience Points,Extra Power,Elimination Points,Execution Points,Как и LOVE это аббревиатура скрывает тёмный смысл системы прокачки
undertale,medium,Персонажи,Что происходит с Напстаблуком во время битвы с ним?,Он начинает плакать и ты тонешь в его слезах,Он атакует призраками,Он исчезает,Он зовет подмогу,Он начинает плакать и ты тонешь в его слезах,Это самый необычный бой в руинах
undertale,hard,Секреты,Какой номер у загадочной записи Гастера в лаборатории?,17,13,7,21,17,Эта запись содержит зловещий текст и доступна только через скрытый файл
undertale,hard,Геймплей,Сколько HP у Санса в битве геноцида?,1,100,9999,50,1,Он уклоняется от всех атак поэтому его реальное здоровье не имеет значения
undertale,hard,Секреты,Что означает фраза Its a beautiful day outside в контексте игры?,Начало монолога Санса в геноциде,Песня Папируса,Фраза Ториэль,Надпись на стене руин,Начало монолога Санса в геноциде,Эта фраза продолжается словами birds are singing flowers are blooming
undertale,hard,Персонажи,Каким был настоящий план Чары в конце геноцидного прохождения?,Уничтожить весь мир,Спасти монстров,Вернуться к жизни,Найти Азриэля,Уничтожить весь мир,После получения твоей души она предлагает сделку и уничтожает всё существующее
undertale,hard,Мир игры,Что происходит с сохранениями после геноцидного прохождения и продажи души?,Чара уничтожает мир навсегда,Игра сбрасывается,Появляется секретная концовка,Ничего особенного,Чара уничтожает мир навсегда,Даже если ты начнешь новую игру последствия этого выбора останутся
undertale,hard,Секреты,Как получить доступ к комнате с Гастером?,Изменить файл fun value на 66,Пройти игру 3 раза,Убить всех боссов,Найти скрытую дверь в Waterfall,Изменить файл fun value на 66,Нужно вручную изменить системный файл игры
undertale,hard,Геймплей,Что такое True Pacifist концовка и чем она отличается от обычной пацифистской?,Требует дружбы со всеми персонажами и свидания с Альфис,Просто пройти без убийств,Убить только финального босса,Пройти за минимальное время,Требует дружбы со всеми персонажами и свидания с Альфис,Нужно выполнить особые условия с каждым персонажем перед финальным боссом
undertale,hard,Персонажи,Почему Санс знает о временных петлях и сохранениях?,Он связан с Гастером и имеет особые способности,Он просто умный,Альфис рассказала ему,Он сам создал систему сохранений,Он связан с Гастером и имеет особые способности,Намёки на это разбросаны по всей игре в виде скрытых деталей
undertale,hard,Секреты,Что означает надпись на немом экране после продажи души Чаре?,Конец игры без возможности восстановления,Пасхалка разработчиков,Секретная концовка,Начало новой главы,Конец игры без возможности восстановления,Мир буквально уничтожается и остается только темнота
undertale,hard,Теории,Что на самом деле представляет собой Флауи с точки зрения лора?,Азриэль возрождённый в цветке без души,Злой дух,Эксперимент Гастера,Чара в новом теле,Азриэль возрождённый в цветке без души,Ториэль посадила цветок на могиле и произошло нечто необычное
